93350	15263	111.830579
15263	30405	128.281857
15263	906	135.934291
906	9647	138.804304
9647	2007	140.452278
15263	2019	141.769168
2007	64336	142.574839
93350	182	142.649710
906	5440	143.262581
906	15155	143.557436
906	31533	143.790902
2019	325	144.659732
2007	83372	145.591648
182	369	145.708353
182	52503	145.857548
52503	12171	146.485554
2019	77625	147.105773
325	38531	147.810189
12171	47768	147.810291
906	57154	148.026119
182	90650	148.227705
12171	39110	148.501434
325	576	148.965117
906	73281	149.151902
325	7336	149.455334
325	1945	149.867656
369	117	149.889645
5440	599	149.937357
117	3187	150.108376
325	9360	150.235940
117	57332	150.312530
47768	23108	150.548422
599	33283	150.797311
576	11525	150.865363
2007	94586	151.159445
1945	56168	151.390116
47768	48343	151.417026
2007	81857	151.437269
325	4804	151.656073
2019	11114	151.697317
576	97604	151.864216
599	68122	152.190461
2007	372	152.416445
11525	21200	152.499250
372	63483	152.643391
2007	19561	152.647851
1945	3174	152.685272
369	49706	152.803334
15155	51198	152.926799
369	90567	153.029106
182	10894	153.116790
1945	92495	153.212640
117	84766	153.280006
49706	55133	153.471434
117	27612	153.499574
325	4575	153.511098
182	11666	153.575344
5440	5512	153.801293
599	10070	153.831795
117	16231	153.837667
2019	3263	153.888570
599	63418	153.906245
77625	94965	154.134411
12171	14454	154.246290
372	368	154.299062
9647	62282	154.359183
2007	23449	154.489607
117	7019	154.605045
117	85775	154.693738
4575	1028	154.768195
372	3967	154.869030
117	65766	155.049269
369	69274	155.223875
372	833	155.346048
599	74001	155.366514
23108	89714	155.589115
56168	77249	155.720258
117	70991	156.066908
117	3305	156.122942
182	25684	156.434230
1945	124	156.478457
9647	1435	156.509366
372	34844	156.536003
83372	64891	156.659474
77249	26	156.700375
325	51056	156.775368
182	4444	156.805518
1028	13126	156.928439
23108	62616	157.049860
182	10460	157.052716
182	53	157.079755
599	32432	157.214493
56168	17604	157.323384
53	40713	157.363331
26	45628	157.382724
3187	34080	157.403306
45628	34355	157.448085
368	83	157.504848
53	1367	157.536043
1945	6288	157.586877
26	10	157.729772
369	10884	157.787815
83	13405	157.799888
23108	23891	157.862715
10	92662	157.878338
3187	56322	157.893314
10	11106	157.899916
117	60241	157.915111
6288	32187	157.936203
124	16726	157.993697
10	23921	158.002387
10	48942	158.130374
53	364	158.171786
26	23488	158.188511
26	6282	158.224967
368	16307	158.248289
369	9059	158.296308
10	7354	158.303773
10	67095	158.327610
325	58588	158.347979
906	3007	158.493306
10	78191	158.542886
2019	10559	158.580008
1367	99564	158.583091
372	18420	158.662840
325	9794	158.774685
17604	7806	158.903860
10	32846	158.933208
53	76075	158.942392
10	87522	158.973810
10	46968	158.977882
53	47312	159.028835
26	48925	159.110823
10	20289	159.114500
53	32502	159.175261
10	71402	159.189789
10	6458	159.204374
182	26111	159.207128
10	24397	159.242057
83	1619	159.249909
364	74509	159.257239
10559	32426	159.382008
117	417	159.418522
10	59381	159.432450
13126	16912	159.440474
9360	21757	159.458917
1619	12878	159.531333
10	4038	159.533401
9794	65443	159.550828
325	71645	159.716313
4038	71495	159.719616
16912	70866	159.740006
53	62759	159.778515
12171	51027	159.849980
83	533	159.866349
325	5302	159.903802
9059	16907	159.906194
599	34224	159.909109
10	44213	159.926026
10	28161	159.950297
92662	12640	159.971603
599	69244	159.990935
78191	665	160.017910
599	75104	160.038743
12878	61438	160.058711
26	4681	160.089434
117	5244	160.102398
3967	83898	160.110027
576	670	160.118027
10	2433	160.130745
372	29305	160.192217
83	14685	160.217708
83	1121	160.239178
417	61871	160.258894
1028	144	160.272561
83	75	160.275696
369	21330	160.322807
10	36604	160.389015
372	7896	160.427523
1121	40807	160.477592
75	3583	160.511970
117	38432	160.621130
26	1353	160.664206
182	62831	160.686349
906	58488	160.768774
1619	47737	160.772721
5440	8503	160.807045
10	58102	160.827749
83	9147	160.832393
364	81207	160.860717
10	113	160.893054
5244	27488	160.919184
61871	68275	160.948544
65443	22269	160.961800
533	88237	160.965382
182	1958	160.969239
71495	95105	161.033384
10	66576	161.109052
1945	13120	161.111488
144	164	161.113101
5302	63482	161.162305
117	32664	161.162682
32846	93439	161.176697
1945	67649	161.310953
369	112	161.312135
576	16772	161.317725
124	39432	161.357455
10	77714	161.371874
182	43703	161.392792
906	5896	161.426075
182	29708	161.428560
117	75364	161.446039
144	218	161.507635
10	60031	161.593318
10	84914	161.600528
833	31086	161.604101
8503	81999	161.622148
368	41544	161.682645
117	28596	161.695707
417	19899	161.704908
112	25447	161.725879
576	91652	161.775979
10	329	161.848421
1028	50796	161.855177
99564	27452	161.905511
576	99125	161.916286
5302	76105	161.948953
329	34638	161.950445
83	9322	161.971356
83	609	162.006632
12878	8591	162.040044
75	7515	162.085210
325	11404	162.198557
124	1004	162.209523
83	59361	162.250547
83	6163	162.261324
10	74948	162.276421
112	5599	162.291000
112	9788	162.312488
329	3572	162.388635
117	80572	162.450077
364	32466	162.456001
10	46175	162.486131
23449	55	162.500578
3572	7668	162.546778
12878	46013	162.549698
833	8	162.554616
32502	3430	162.560573
1121	3500	162.581964
4038	64742	162.626213
3187	11577	162.647109
329	12	162.658156
34080	77478	162.693657
12	55022	162.722488
8	3214	162.724310
10	466	162.725387
329	7211	162.737854
10	70316	162.739934
53	80394	162.772814
1435	8867	162.787199
368	73502	162.802846
1945	23236	162.900047
10	37122	162.923553
7668	1586	162.981892
12	1948	163.005574
12	56817	163.043114
10	33264	163.059441
75	87384	163.061942
43703	45865	163.071478
10	24452	163.077910
12	66738	163.083856
329	17090	163.104319
325	8934	163.146899
8	52810	163.159270
29305	25524	163.186349
124	77299	163.205982
1028	1147	163.232089
50796	3701	163.237938
10	77077	163.250592
10	8641	163.269887
12	1372	163.282804
112	73374	163.320928
83	1851	163.322344
48925	34307	163.325290
1121	79173	163.332825
53	13786	163.348249
1851	20301	163.368028
2019	238	163.379320
10	39234	163.383388
26	47593	163.402765
10	14552	163.422147
670	67739	163.425526
164	11194	163.434855
32502	1737	163.522024
369	10277	163.522796
10	18170	163.541789
10559	27040	163.545955
58588	23334	163.558156
16726	58693	163.571381
12	53447	163.587291
1737	18992	163.605184
417	72520	163.608766
906	46353	163.618806
26	5993	163.655663
10	11568	163.710266
8	96992	163.723770
1147	20937	163.729836
83	926	163.754582
8	99856	163.793299
372	3329	163.809558
12	15991	163.814307
112	75933	163.929440
8	6	163.968173
117	9667	163.969912
3967	84679	164.030028
26	11512	164.060291
12	26312	164.065889
6	5885	164.073335
670	44789	164.078315
329	5483	164.080838
372	49861	164.098132
8	28400	164.109338
8	81	164.123011
12	92447	164.126661
68122	2084	164.129794
83	60669	164.131708
6	6684	164.167747
